iter	Passed	Remaining
0	143	143324
1	147	73423
2	150	50023
3	154	38411
4	157	31422
5	161	26770
6	165	23426
7	168	20905
8	171	18899
9	174	17245
10	176	15895
11	178	14722
12	181	13745
13	183	12912
14	185	12178
15	187	11522
16	189	10937
17	190	10406
18	192	9920
19	193	9487
20	194	9086
21	196	8728
22	197	8401
23	199	8100
24	200	7820
25	201	7560
26	203	7319
27	204	7095
28	205	6888
29	207	6693
30	208	6510
31	209	6337
32	210	6178
33	212	6034
34	213	5895
35	215	5758
36	216	5630
37	217	5507
38	218	5392
39	220	5283
40	221	5180
41	222	5083
42	224	4988
43	225	4897
44	226	4810
45	227	4728
46	229	4648
47	230	4572
48	231	4498
49	233	4428
50	234	4356
51	235	4290
52	236	4228
53	237	4167
54	239	4109
55	240	4054
56	241	4002
57	243	3951
58	244	3900
59	245	3852
60	247	3805
61	248	3759
62	249	3715
63	251	3672
64	252	3629
65	253	3588
66	254	3549
67	256	3512
68	257	3475
69	258	3440
70	260	3405
71	261	3372
72	262	3339
73	264	3306
74	265	3274
75	266	3244
76	268	3214
77	269	3185
78	270	3157
79	272	3129
80	273	3102
81	274	3075
82	275	3049
83	277	3024
84	278	2999
85	279	2974
86	281	2950
87	282	2927
88	283	2901
89	284	2878
90	286	2857
91	287	2836
92	288	2814
93	289	2793
94	291	2773
95	292	2754
96	293	2734
97	295	2715
98	296	2697
99	297	2677
100	298	2659
101	300	2642
102	301	2623
103	302	2607
104	303	2590
105	305	2574
106	306	2558
107	307	2542
108	308	2524
109	310	2509
110	311	2495
111	312	2480
112	314	2465
113	315	2452
114	316	2438
115	318	2424
116	319	2410
117	320	2396
118	321	2383
119	323	2370
120	324	2357
121	325	2345
122	327	2332
123	328	2320
124	329	2308
125	331	2297
126	332	2286
127	333	2274
128	335	2263
129	336	2252
130	337	2241
131	339	2230
132	340	2219
133	341	2208
134	343	2197
135	344	2187
136	345	2177
137	347	2168
138	348	2158
139	349	2148
140	350	2138
141	352	2128
142	353	2118
143	354	2109
144	356	2100
145	357	2090
146	358	2081
147	360	2072
148	361	2063
149	362	2055
150	363	2046
151	365	2037
152	366	2028
153	367	2020
154	369	2012
155	370	2004
156	371	1995
157	372	1985
158	373	1978
159	375	1970
160	376	1963
161	378	1955
162	379	1948
163	380	1941
164	382	1934
165	383	1926
166	384	1919
167	386	1911
168	387	1904
169	388	1897
170	389	1889
171	391	1883
172	392	1876
173	393	1869
174	395	1862
175	396	1855
176	397	1849
177	398	1842
178	400	1835
179	401	1829
180	402	1822
181	404	1816
182	405	1809
183	406	1803
184	407	1796
185	409	1790
186	410	1784
187	411	1778
188	413	1772
189	414	1766
190	415	1760
191	416	1754
192	418	1748
193	419	1742
194	421	1739
195	422	1734
196	424	1729
197	425	1723
198	426	1717
199	428	1712
200	429	1706
201	430	1700
202	431	1694
203	432	1688
204	434	1683
205	435	1679
206	437	1674
207	438	1669
208	439	1664
209	441	1661
210	443	1656
211	444	1651
212	445	1646
213	447	1641
214	448	1637
215	449	1632
216	451	1627
217	452	1623
218	453	1618
219	455	1613
220	456	1608
221	457	1604
222	459	1599
223	459	1593
224	461	1588
225	462	1584
226	463	1579
227	465	1575
228	466	1570
229	467	1566
230	469	1561
231	470	1557
232	471	1552
233	473	1548
234	474	1544
235	475	1538
236	476	1534
237	477	1530
238	479	1526
239	480	1522
240	482	1518
241	483	1513
242	484	1509
243	485	1505
244	487	1501
245	488	1497
246	489	1492
247	491	1488
248	492	1484
249	493	1480
250	495	1478
251	496	1475
252	498	1471
253	499	1467
254	500	1463
255	502	1459
256	503	1455
257	504	1452
258	506	1448
259	507	1444
260	508	1440
261	510	1437
262	511	1433
263	512	1429
264	514	1425
265	515	1422
266	516	1418
267	518	1414
268	519	1411
269	520	1407
270	521	1403
271	523	1399
272	524	1397
273	526	1394
274	528	1392
275	529	1388
276	530	1385
277	532	1382
278	533	1378
279	534	1375
280	536	1371
281	537	1368
282	538	1365
283	540	1361
284	541	1358
285	542	1355
286	543	1351
287	545	1348
288	546	1344
289	547	1341
290	549	1338
291	550	1334
292	551	1331
293	553	1328
294	554	1325
295	555	1321
296	557	1318
297	558	1315
298	559	1311
299	560	1308
300	562	1305
301	563	1302
302	564	1299
303	566	1295
304	567	1292
305	568	1289
306	569	1285
307	570	1282
308	572	1279
309	573	1276
310	574	1273
311	576	1270
312	577	1267
313	578	1264
314	580	1261
315	581	1258
316	582	1255
317	584	1252
318	585	1249
319	586	1246
320	588	1243
321	589	1240
322	590	1237
323	591	1234
324	593	1231
325	594	1228
326	595	1225
327	597	1223
328	598	1220
329	599	1217
330	600	1214
331	602	1211
332	603	1209
333	604	1206
334	605	1202
335	607	1199
336	608	1196
337	609	1193
338	610	1191
339	612	1188
340	613	1185
341	615	1183
342	616	1180
343	617	1177
344	618	1174
345	620	1172
346	621	1169
347	622	1166
348	623	1163
349	625	1160
350	626	1158
351	627	1155
352	629	1153
353	630	1150
354	631	1147
355	632	1144
356	634	1142
357	635	1139
358	636	1137
359	638	1134
360	639	1131
361	640	1128
362	641	1126
363	643	1123
364	644	1121
365	645	1118
366	647	1116
367	648	1113
368	649	1111
369	650	1108
370	652	1105
371	653	1103
372	654	1100
373	656	1098
374	657	1095
375	658	1092
376	659	1090
377	661	1087
378	662	1085
379	663	1082
380	665	1080
381	666	1077
382	667	1075
383	668	1072
384	670	1070
385	671	1068
386	672	1065
387	673	1063
388	675	1060
389	676	1058
390	677	1055
391	678	1052
392	680	1050
393	681	1048
394	682	1045
395	683	1043
396	685	1040
397	686	1038
398	688	1036
399	689	1034
400	690	1032
401	692	1029
402	693	1027
403	695	1025
404	697	1024
405	698	1021
406	699	1019
407	701	1018
408	703	1015
409	704	1013
410	706	1011
411	707	1009
412	708	1006
413	709	1004
414	710	1002
415	712	999
416	713	997
417	714	994
418	715	992
419	717	990
420	718	988
421	719	986
422	721	983
423	722	981
424	723	979
425	725	977
426	726	974
427	727	972
428	729	970
429	730	968
430	732	966
431	733	964
432	734	961
433	735	959
434	737	957
435	738	955
436	740	953
437	741	951
438	743	949
439	744	947
440	745	945
441	746	942
442	748	940
443	749	938
444	750	936
445	752	934
446	753	931
447	754	929
448	755	927
449	757	925
450	758	923
451	759	921
452	761	919
453	762	916
454	763	914
455	764	912
456	766	910
457	767	908
458	768	906
459	770	904
460	771	902
461	772	899
462	774	897
463	775	895
464	777	894
465	778	891
466	779	889
467	781	887
468	782	885
469	783	883
470	784	881
471	786	879
472	787	877
473	788	875
474	790	873
475	791	871
476	793	870
477	795	868
478	796	866
479	797	864
480	799	862
481	800	860
482	801	858
483	802	856
484	804	853
485	805	851
486	806	850
487	808	848
488	809	846
489	810	843
490	812	841
491	813	839
492	814	837
493	816	835
494	817	833
495	818	831
496	820	830
497	821	828
498	823	826
499	824	824
500	825	822
501	826	820
502	828	818
503	829	816
504	830	814
505	832	812
506	833	810
507	834	808
508	835	806
509	837	804
510	838	802
511	839	800
512	841	798
513	842	796
514	843	794
515	845	792
516	846	790
517	847	788
518	848	786
519	850	784
520	851	782
521	852	780
522	854	779
523	855	777
524	856	775
525	857	773
526	859	771
527	860	769
528	861	767
529	863	765
530	864	763
531	865	761
532	867	759
533	868	757
534	869	755
535	871	754
536	872	751
537	873	750
538	874	748
539	876	746
540	877	744
541	878	742
542	879	740
543	881	738
544	882	736
545	883	734
546	885	732
547	886	731
548	887	729
549	888	727
550	890	725
551	891	723
552	892	721
553	894	719
554	895	718
555	896	716
556	898	714
557	899	712
558	900	710
559	902	708
560	903	706
561	904	704
562	905	703
563	906	701
564	908	699
565	909	697
566	910	695
567	912	693
568	913	691
569	914	690
570	915	688
571	917	686
572	918	684
573	919	682
574	921	680
575	922	679
576	923	677
577	925	675
578	926	673
579	927	671
580	929	669
581	930	668
582	931	666
583	932	664
584	934	662
585	936	661
586	937	659
587	939	658
588	940	656
589	942	654
590	943	652
591	944	651
592	945	649
593	947	647
594	948	645
595	949	643
596	950	641
597	952	640
598	953	638
599	954	636
600	956	634
601	957	632
602	958	631
603	959	629
604	961	627
605	962	625
606	963	624
607	965	622
608	966	620
609	967	618
610	969	617
611	970	615
612	972	613
613	973	612
614	975	610
615	976	608
616	977	606
617	979	605
618	980	603
619	981	601
620	983	600
621	984	598
622	986	596
623	987	595
